City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Longyearbyen,SJ,78.2186,15.6401,3.04,66,20,6.91,few clouds
222,Faanui,PF,-16.4833,-151.75,81.7,73,78,14.14,broken clouds
223,Newcastle,AU,-32.9272,151.7765,69.71,96,40,3.44,light rain
224,Nantucket,US,41.2835,-70.0995,52.14,72,75,10.36,broken clouds
225,Madison,US,34.7334,-86.5667,57.85,33,0,16.11,clear sky
226,Itoman,JP,26.1247,127.6694,68.02,83,100,8.05,overcast clouds
227,Urbano Santos,BR,-3.2078,-43.4036,86.13,69,67,3.58,broken clouds
228,Oranjemund,NA,-28.55,16.4333,64.47,73,0,10.94,clear sky
229,Zhigansk,RU,66.7697,123.3711,2.93,99,99,7.45,overcast clouds
230,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,16.11,broken clouds
231,Luan,CH,46.3592,6.9759,59.63,40,0,2.28,clear sky
232,Koumac,NC,-20.5667,164.2833,76.1,83,27,5.3,scattered clouds
233,Amazar,RU,53.858,120.875,13.84,96,100,3.96,overcast clouds
234,Luderitz,NA,-26.6481,15.1594,68.85,65,0,13.6,clear sky
235,Northam,GB,51.0333,-4.2167,55.83,71,0,11.95,clear sky
236,Znamenka,RU,52.4167,41.4311,38.17,94,100,21.3,moderate rain
237,Rosbach,DE,50.8,7.6167,66.25,49,6,8.5,clear sky
238,Martapura,ID,-3.4167,114.85,78.89,94,11,4.61,few clouds
239,Basoko,CD,1.2391,23.616,86.27,50,85,2.82,overcast clouds
240,Maragogi,BR,-9.0122,-35.2225,82.72,77,92,10.09,overcast clouds
241,Woodward,US,36.4337,-99.3904,58.96,38,0,12.66,clear sky
242,Pingliang,CN,35.5392,106.6861,43.61,26,37,3.69,scattered clouds
243,Quatre Cocos,MU,-20.2078,57.7625,81.09,78,4,7.87,clear sky
244,Hualmay,PE,-11.0964,-77.6139,74.97,71,98,9.15,overcast clouds
245,Iqaluit,CA,63.7506,-68.5145,22.73,79,75,21.85,broken clouds
246,Isilkul,RU,54.9109,71.2728,1.78,97,32,6.13,scattered clouds
247,Fort Walton Beach,US,30.4058,-86.6188,70.57,41,0,11.01,clear sky
248,Lomas De Sargentillo,EC,-1.8833,-80.0833,76.86,95,100,1.97,light rain
249,Yelizovo,RU,53.1873,158.3805,17.74,73,0,11.18,clear sky
250,Daru,PG,-9.0763,143.2092,78.85,85,97,4.97,moderate rain
251,Matamoros,MX,25.5333,-103.25,64.51,9,75,5.75,broken clouds
252,Manokwari,ID,-0.8667,134.0833,78.82,83,90,6.24,overcast clouds
253,Los Negros,BO,-17.7333,-63.4333,82.53,47,99,5.95,overcast clouds
254,Opuwo,NA,-18.0607,13.84,84.69,21,16,11.83,few clouds
255,Brigantine,US,39.4101,-74.3646,50.2,65,100,8.05,light rain
256,Saint-Gaudens,FR,43.0833,0.6667,59.02,67,100,4.09,overcast clouds
257,Chikwawa,MW,-16.0335,34.8009,82.92,75,89,4.16,overcast clouds
258,Cabo San Lucas,MX,22.8909,-109.9124,79.52,37,0,1.01,clear sky
259,Luwuk,ID,-0.9516,122.7875,76.66,83,81,2.95,broken clouds
260,Matara,LK,5.9485,80.5353,78.44,81,11,3.69,few clouds
261,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,52,6.85,light rain
262,Tornio,FI,65.8481,24.1466,26.62,55,28,14.07,scattered clouds
263,Benguela,AO,-12.5763,13.4055,80.6,78,100,5.84,overcast clouds
264,Mwinilunga,ZM,-11.7358,24.4293,70.12,86,99,2.35,light rain
265,Payyannur,IN,12.1,75.2,81.34,80,27,4.0,scattered clouds
266,Kununurra,AU,-15.7667,128.7333,78.78,89,29,3.44,scattered clouds
267,Imeni Poliny Osipenko,RU,52.4201,136.4853,16.77,96,99,12.3,overcast clouds
268,Guerrero Negro,MX,27.9769,-114.0611,65.98,62,1,5.79,clear sky
269,Tautira,PF,-17.7333,-149.15,80.56,76,80,12.75,broken clouds
270,Grand-Lahou,CI,5.1367,-5.0242,85.12,70,99,12.15,overcast clouds
271,Bowen,AU,-20.0167,148.2333,77.88,77,100,8.03,overcast clouds
272,Hailar,CN,49.2,119.7,17.08,78,73,9.73,broken clouds
273,Norcasia,CO,5.5778,-74.8852,76.96,81,100,1.14,overcast clouds
274,Yaan,NG,7.3833,8.5667,104.16,8,63,3.38,broken clouds
275,Hella,NO,67.2,14.4333,32.14,65,20,5.75,few clouds
276,Miles City,US,46.4083,-105.8406,40.17,33,0,18.41,clear sky
277,Torbay,CA,47.6666,-52.7314,34.29,94,100,17.27,fog
278,Russell,US,32.3502,-85.1999,63.68,33,0,11.5,clear sky
279,Muromtsevo,RU,56.3724,75.2418,1.92,96,27,1.72,scattered clouds
280,Iquitos,PE,-3.7481,-73.2472,82.44,74,75,3.44,light rain
281,Severo-Kurilsk,RU,50.6789,156.125,22.51,78,9,3.62,clear sky
282,Amahai,ID,-3.3333,128.9167,77.92,84,99,4.03,overcast clouds
283,San Marcos,US,33.1434,-117.1661,80.87,74,100,1.01,mist
284,Machico,PT,32.7,-16.7667,68.05,84,75,13.8,broken clouds
285,Shimoda,JP,34.6667,138.95,61.11,97,100,21.65,overcast clouds
286,Koroni,GR,36.8,21.95,62.08,61,4,3.69,clear sky
287,Grindavik,IS,63.8424,-22.4338,46.87,100,100,26.46,mist
288,Kirakira,SB,-10.4544,161.9205,79.77,83,100,5.1,overcast clouds
289,Danilov,RU,58.1908,40.1717,30.54,87,82,8.99,broken clouds
290,Upata,VE,8.0086,-62.3989,84.9,52,95,8.41,overcast clouds
291,Staritsa,RU,56.5075,34.9354,33.55,81,82,14.0,light snow
292,Birao,CF,10.2849,22.7882,93.76,7,49,10.25,scattered clouds
293,Camacha,PT,33.0833,-16.3333,62.02,72,20,12.66,few clouds
294,Katangli,RU,51.7102,143.2326,27.9,97,100,12.06,overcast clouds
295,Lingao,CN,19.9103,109.6859,76.55,86,97,6.44,overcast clouds
296,Killybegs,IE,54.6333,-8.45,56.91,57,2,0.36,clear sky
297,Atikokan,CA,48.7555,-91.6216,9.77,76,100,13.89,overcast clouds
298,Thunder Bay,CA,48.4001,-89.3168,18.28,53,75,21.85,broken clouds
299,Birjand,IR,32.8663,59.2211,63.07,9,0,4.61,clear sky
300,Skjervoy,NO,70.0311,20.9714,24.8,55,100,19.71,light snow
301,Avera,US,33.194,-82.5271,60.91,32,0,18.01,clear sky
302,Awjilah,LY,29.1081,21.2869,71.26,14,0,11.18,clear sky
303,Chimoio,MZ,-19.1164,33.4833,75.06,100,75,6.91,thunderstorm
304,Grenada,ES,37.1882,-3.6067,57.9,67,75,4.61,broken clouds
305,Saint-Joseph,RE,-21.3667,55.6167,79.18,86,47,4.72,light rain
306,Eureka,US,40.8021,-124.1637,53.2,88,100,1.68,overcast clouds
307,Vitim,RU,59.4511,112.5578,10.02,98,100,3.33,overcast clouds
308,Puerto Escondido,MX,15.85,-97.0667,85.03,79,0,5.75,clear sky
309,Chokurdakh,RU,70.6333,147.9167,0.16,95,100,10.71,overcast clouds
310,Ust-Kalmanka,RU,52.1207,83.305,22.08,93,100,7.31,overcast clouds
311,Hami,CN,42.8,93.45,48.15,26,0,3.65,clear sky
